mode,threads,ops_per_thread,key_space,distribution,read_pct,throughput_ops_s,lat_min_ns,lat_max_ns,lat_avg_ns,total_updates,total_reads,total_sum,cpu_usr_pct,cpu_sys_pct,cpu_idle_pct,cpu_iowait_pct,cpu_total_pct
0,4,200000,1024,zipfian,80,3450222.29,187,1098966,457,160020,639980,160020,3.0,15.2,81.8,0.0,18.2
0,8,200000,1024,zipfian,80,3689081.53,187,159868571,1422,320820,1279180,320820,6.2,16.0,76.5,0.0,22.2
0,16,200000,1024,zipfian,80,3590781.73,186,279338995,3207,640767,2559233,640767,11.0,36.4,50.8,0.0,47.5
1,1,200000,1024,zipfian,80,2527835.32,190,521754,301,40056,159944,40056,2.6,12.8,84.6,0.0,15.4
1,2,200000,1024,zipfian,80,1169928.12,191,138685527,618,80123,319877,80123,1.1,5.1,93.8,0.0,6.3
1,4,200000,1024,zipfian,80,2260299.59,190,137211528,627,160020,639980,160020,4.9,19.2,75.8,0.0,24.2
1,8,200000,1024,zipfian,80,3896689.71,190,207084130,872,320820,1279180,320820,3.2,9.7,87.1,0.0,12.9
1,16,200000,1024,zipfian,80,5139158.50,189,293419229,1231,640767,2559233,640767,6.4,14.3,79.3,0.0,20.7
2,1,200000,1024,zipfian,80,2374495.28,177,429997,331,40056,159944,40056,6.5,15.2,78.3,0.0,21.7
2,2,200000,1024,zipfian,80,3549594.35,181,424648,458,80123,319877,80123,3.8,21.2,75.0,0.0,25.0
2,4,200000,1024,zipfian,80,4187781.00,175,1182943,430,160020,639980,160020,5.1,15.4,79.5,0.0,20.5
2,8,200000,1024,zipfian,80,5379477.49,177,99480860,718,320820,1279180,320820,8.2,18.8,71.8,0.0,27.1
2,16,200000,1024,zipfian,80,6097267.01,177,279607724,1276,640767,2559233,640767,11.2,25.0,63.7,0.0,36.2
3,1,200000,1024,zipfian,80,1253263.58,174,3326107,721,40056,159944,40056,3.1,29.9,67.0,0.0,33.0
